Lightcurve (raw) :   64675
Time (BJD)     Flux      Status
--------------------------------------
147.98213       -0.00076    1
148.00256       -0.00067    1
148.02299       -0.00023    1
148.04343       -0.00007    1
148.06386        0.00031    1
148.08430        0.00089    1
148.10473        0.00075    1
148.12517        0.00072    1
148.14560        0.00037    1
148.16603        0.00014    1
148.18647       -0.00011    1
148.20690       -0.00066    1
148.22734       -0.00099    1
148.24777       -0.00061    1
148.26821       -0.00023    1
148.28864       -0.00017    1
148.30908        0.00019    1
148.32951        0.00035    1
148.34994        0.00050    1
148.37038        0.00050    1
148.39081        0.00063    1
148.41125        0.00006    1
148.43168       -0.00036    1
148.45212       -0.00031    1
148.47255       -0.00044    1
148.49298       -0.00037    1
148.51342       -0.00013    1
148.53385       -0.00026    1
148.55429        0.00037    1
148.57472        0.00036    1
148.59516        0.00023    1
148.61559        0.00005    1
148.63603       -0.00020    1
148.65646       -0.00023    1
148.67689       -0.00040    1
148.69733       -0.00013    1
148.71776       -0.00025    1
148.73820       -0.00007    1
148.75863        0.00030    1
148.77907        0.00018    1
148.79950        0.00038    1
148.81993        0.00088    1
148.84037        0.00056    1
148.86080        0.00044    1
148.88124        0.00038    1
148.90167       -0.00019    1
148.92211       -0.00015    1
148.94254       -0.00022    1
148.96297       -0.00025    1
148.98341       -0.00007    1
149.00384       -0.00008    1
149.02428       -0.00014    1
149.04471       -0.00006    1
149.06515        0.00018    1
149.08558       -0.00016    1
149.10601       -0.00016    1
149.12645        0.00008    1
149.14688        0.00003    1
149.16732       -0.00002    1
149.18775        0.00023    1
149.20819       -0.00016    1
149.22862       -0.00032    1
149.24906       -0.00018    1
149.26949       -0.00014    1
149.28992       -0.00014    1
149.33079       -0.00032    1
149.35123       -0.00003    1
149.37166        0.00016    1
149.39210        0.00027    1
149.41253        0.00008    1
149.43296        0.00036    1
149.45340        0.00028    1
149.47383        0.00030    1
149.49427        0.00013    1
149.51470        0.00004    1
149.53514       -0.00019    1
149.55557       -0.00011    1
149.57600        0.00011    1
149.59644        0.00006    1
149.61687        0.00022    1
149.63731        0.00031    1
149.65774        0.00030    1
149.67818        0.00018    1
149.69861       -0.00018    1
149.71905       -0.00036    1
149.73948       -0.00038    1
149.75991       -0.00023    1
149.78035       -0.00021    1
149.80078       -0.00049    1
149.82122       -0.00025    1
149.84165        0.00032    1
149.86209        0.00055    1
149.88252        0.00060    1
149.90295        0.00053    1
149.92339        0.00047    1
149.94382        0.00014    1
149.96426       -0.00005    1
149.98469       -0.00046    1
150.00513       -0.00076    1
150.02556       -0.00061    1
150.04599       -0.00013    1
150.06643        0.00012    1
150.08686        0.00030    1
150.10730        0.00078    1
150.12773        0.00053    1
150.14817        0.00058    1
150.16860        0.00032    1
150.18904       -0.00027    1
150.20947       -0.00040    1
150.22990       -0.00062    1
150.25034       -0.00053    1
150.27077       -0.00036    1
150.29121       -0.00019    1
150.31164        0.00001    1
150.33208        0.00024    1
150.35251        0.00062    1
150.37294        0.00049    1
150.39338        0.00035    1
150.41381       -0.00040    1
150.43425       -0.00025    1
150.45468       -0.00038    1
150.47512       -0.00064    1
150.49555       -0.00066    1
150.51598       -0.00035    1
150.53642        0.00011    1
150.55685        0.00045    1
150.57729        0.00084    1
150.61816        0.00044    1
150.63859        0.00034    1
150.65903        0.00013    1
150.67946       -0.00022    1
150.69989       -0.00040    1
150.72033       -0.00079    1
150.74076       -0.00019    1
150.76120       -0.00032    1
150.78163       -0.00010    1
150.80207        0.00030    1
150.82250        0.00028    1
150.84293        0.00068    1
150.86337        0.00059    1
150.88380        0.00049    1
150.90424        0.00030    1
150.92467       -0.00012    1
150.94511       -0.00024    1
150.96554       -0.00050    1
150.98597       -0.00029    1
151.00641       -0.00023    1
151.02684       -0.00013    1
151.04728       -0.00017    1
151.06771        0.00006    1
151.08815       -0.00020    1
151.10858       -0.00013    1
151.12901        0.00004    1
